place_type,name,cafe_latitude,cafe_longitude,distance,source_latitude,source_longitude
cafe,Cafe Nena'i,30.2271765,-97.7022879,804.7129137020128,30.23,-97.71
cafe,Starbucks,30.2176804,-97.6897877,2376.529862928783,30.23,-97.71
cafe,The Buzz Mill,30.2417186,-97.7269298,2084.0224408472345,30.23,-97.71
cafe,Family Nutrition,30.2373273,-97.7240269,1574.7268263885512,30.23,-97.71
cafe,Starbucks,30.2423606,-97.72740119999999,2164.169320136823,30.23,-97.71
cafe,Boston Donuts,30.2434517,-97.730319,2459.17775185933,30.23,-97.71
cafe,Starbucks,30.2428838,-97.720911,1775.1296517048863,30.23,-97.71
cafe,Tea Cup Boba House,30.2434438,-97.7303364,2459.9709293896335,30.23,-97.71
cafe,McDonald's,30.2357055,-97.7241141,1497.0315944445317,30.23,-97.71
