place_type,name,cafe_latitude,cafe_longitude,distance,source_latitude,source_longitude
cafe,LifeCafe,30.4727775,-97.77413000000001,1962.8130009463405,30.46,-97.76
cafe,"Fooda Coffee, Market & Cafes",30.4587093,-97.751381,838.4947279589185,30.46,-97.76
cafe,Cuppa Austin Coffee Shop,30.4780421,-97.76630899999999,2095.3281324996183,30.46,-97.76
cafe,Rocket Coffee ATX And Pastries,30.4679397,-97.76199849999999,903.3942733430723,30.46,-97.76
cafe,Starbucks,30.444866,-97.74364,2300.248027266084,30.46,-97.76
