place_type,name,cafe_latitude,cafe_longitude,distance,source_latitude,source_longitude
cafe,Kerbey Lane Cafe - Mueller,30.3007112,-97.703732,1320.7084622930772,30.3,-97.69
cafe,Halcyon,30.2976596,-97.7053878,1500.072939983619,30.3,-97.69
cafe,Color Café,30.28098,-97.7131198,3066.038460392941,30.3,-97.69
cafe,Talisman Coffee Co.,30.3058633,-97.6797593,1179.6654702691071,30.3,-97.69
cafe,Talisman Coffee Company,30.3001085,-97.70258059999999,1207.862667014496,30.3,-97.69
cafe,Streamway Coffee,30.2964013,-97.707797,1754.868284594464,30.3,-97.69
cafe,Fleet Coffee,30.2857088,-97.7115283,2607.234405605794,30.3,-97.69
cafe,Starbucks,30.3057723,-97.7080256,1845.6987651772477,30.3,-97.69
cafe,Houndstooth Coffee,30.2814677,-97.70957949999999,2789.3623741116508,30.3,-97.69
cafe,Starbucks,30.3015932,-97.6999501,971.5418962204731,30.3,-97.69
