place_type,name,cafe_latitude,cafe_longitude,distance,source_latitude,source_longitude
cafe,Cafe 605,30.2601281,-97.73892939999999,103.80691914208587,30.26,-97.74
cafe,Capitol Café,30.271906,-97.74116099999999,1328.5739205717593,30.26,-97.74
cafe,Café No Sé,30.247111,-97.750424,1748.2857493490214,30.26,-97.74
cafe,The Well Cafe,30.2668207,-97.741089,765.6047679760317,30.26,-97.74
cafe,Capital One Café,30.2681205,-97.74235279999999,930.8026175975875,30.26,-97.74
cafe,Cafe at the Loren,30.2640094,-97.7564215,1638.9611663922558,30.26,-97.74
cafe,Cafe 508,30.2688384,-97.7365567,1036.9309319766035,30.26,-97.74
cafe,Messhall Cafe,30.27190349999999,-97.7397506,1323.8255091937692,30.26,-97.74
cafe,Elizabeth Street Café,30.2498048,-97.7546787,1809.1247288856575,30.26,-97.74
cafe,Jo's Coffee,30.2510458,-97.74937170000001,1342.2346202494864,30.26,-97.74
cafe,Bennu Coffee on Congress,30.2561063,-97.7463112,744.9111648174201,30.26,-97.74
cafe,Carpenter Coffee Bar,30.26215899999999,-97.7586956,1811.5645345533067,30.26,-97.74
cafe,Jo's Coffee,30.265017,-97.746089,808.2099214850477,30.26,-97.74
cafe,Mañana,30.247699,-97.74982399999999,1661.7098108429032,30.26,-97.74
cafe,Magnolia Cafe,30.24445649999999,-97.7519537,2074.9773576334355,30.26,-97.74
cafe,Sips & Sweets,30.2467913,-97.7503494,1773.5191104386258,30.26,-97.74
cafe,Hill Top Motel And Cafe,30.26720419999999,-97.74260389999999,839.198598933669,30.26,-97.74
cafe,Cheers Cafe,30.272111,-97.73967189999999,1347.0503504638716,30.26,-97.74
cafe,Thistle Cafe,30.26839469999999,-97.7447262,1037.9573054791124,30.26,-97.74
cafe,Victorious Cafe at True Hemp Science,30.246245,-97.7562074,2182.375252207523,30.26,-97.74
