place_type,name,yoga_latitude,yoga_longitude,distance,source_latitude,source_longitude
yoga_studio,"YTX Yoga, Strength, & HIIT Training",30.2658104,-97.7416485,665.2030040712419,30.26,-97.74
yoga_studio,Practice Yoga Austin,30.2645313,-97.7313798,969.1722267893983,30.26,-97.74
yoga_studio,Sanctuary Studio & Loft,30.2552777,-97.7610586,2089.657672071172,30.26,-97.74
yoga_studio,PURE Yoga Texas | Downtown Austin,30.2735425,-97.7613429,2543.4175385262924,30.26,-97.74
yoga_studio,Black Swan Yoga - Orchard,30.2717074,-97.7593065,2265.53247505267,30.26,-97.74
yoga_studio,CorePower Yoga,30.2693243,-97.751798,1535.8546353041036,30.26,-97.74
yoga_studio,Black Swan Yoga - East,30.2603828,-97.7348085,500.42681309365423,30.26,-97.74
yoga_studio,Energies Balanced Yoga & Massage Studio,30.275103,-97.7192778,2603.99568370752,30.26,-97.74
yoga_studio,Austin Yoga,30.272764,-97.7578644,2226.631950908777,30.26,-97.74
yoga_studio,Clear Spring Studio,30.2534357,-97.7539463,1525.4705549591163,30.26,-97.74
yoga_studio,Yoga Rx,30.2724148,-97.7479211,1576.1934396603808,30.26,-97.74
yoga_studio,Austin Salt Room,30.2433747,-97.75811689999999,2538.8394095581707,30.26,-97.74
yoga_studio,barre3,30.2682716,-97.75482730000002,1695.2246750619122,30.26,-97.74
