place_type,name,cafe_latitude,cafe_longitude,distance,source_latitude,source_longitude
cafe,Sam's Club Cafe,30.3918488,-97.74160619999999,1983.3828934822582,30.4,-97.76
cafe,Corner Bakery,30.3938646,-97.75081089999999,1114.5270347782416,30.4,-97.76
cafe,Fire Bowl Cafe,30.39526799999999,-97.749444,1140.988359324657,30.4,-97.76
cafe,Steam & Squeeze,30.3892613,-97.7416937,2123.366958400667,30.4,-97.76
cafe,Teapioca Lounge,30.3910729,-97.74878869999999,1463.4224742863732,30.4,-97.76
cafe,Hookah Buzz Lounge & Cafe,30.4175319,-97.74554549999999,2392.03724484171,30.4,-97.76
cafe,Starbucks,30.4020466,-97.74696929999999,1270.2752453677126,30.4,-97.76
cafe,Starbucks,30.394866,-97.752499,918.4012270808853,30.4,-97.76
cafe,Panera Bread,30.3902493,-97.74000559999999,2202.982134571835,30.4,-97.76
cafe,Einstein Bros. Bagels,30.39986399999999,-97.7451275,1426.4601562773262,30.4,-97.76
cafe,Starbucks,30.3930722,-97.7441759,1702.0062560999543,30.4,-97.76
cafe,McDonald's,30.3991574,-97.7468911,1260.7288636054939,30.4,-97.76
