place_type,name,cafe_latitude,cafe_longitude,distance,source_latitude,source_longitude
cafe,Kerbey Lane Cafe,30.2226909,-97.8413442,1817.2908396860332,30.22,-97.86
cafe,Madrone Coffee Co.,30.2356132,-97.85904149999999,1738.549249709621,30.22,-97.86
cafe,Starbucks,30.2026563,-97.8787699,2640.517910065793,30.22,-97.86
cafe,Starbucks,30.2324886,-97.8740527,1936.8262428439014,30.22,-97.86
cafe,Panera Bread,30.2232383,-97.8442127,1559.0265026158115,30.22,-97.86
cafe,Evangeline Cafe,30.2021001,-97.8386969,2855.1821620336405,30.22,-97.86
cafe,Summer Moon Coffee,30.2004436,-97.8698217,2370.5521100369974,30.22,-97.86
cafe,McDonald's,30.2352274,-97.8758385,2276.5168797432343,30.22,-97.86
cafe,Starbucks,30.2221521,-97.8373117,2193.0414615852833,30.22,-97.86
cafe,Gong Cha,30.2222087,-97.8376346,2162.909347534121,30.22,-97.86
