place_type,name,cafe_latitude,cafe_longitude,distance,source_latitude,source_longitude
cafe,George's Cafe,30.2884104,-97.73078350000002,902.4092651838873,30.29,-97.74
cafe,Central Market Cafe,30.30701759999999,-97.7399936,1892.2708834238208,30.29,-97.74
cafe,The Star Cafe,30.2800341,-97.7388701,1113.4557858794592,30.29,-97.74
cafe,One Twenty 5 Café,30.2819761,-97.74033879999999,892.8098367615818,30.29,-97.74
cafe,Capitol Café,30.271906,-97.74116099999999,2015.0473168505587,30.29,-97.74
cafe,34th Street Café,30.3027036,-97.74524249999999,1499.5691586733826,30.29,-97.74
cafe,Red River Cafe,30.2896946,-97.72847619999999,1106.9803234477017,30.29,-97.74
cafe,Medici Roasting,30.285537,-97.742003,532.2262980952743,30.29,-97.74
cafe,O's Campus Cafe and Catering,30.2866836,-97.73640909999999,504.8429751978818,30.29,-97.74
cafe,Texas Coffee Traders - Pangea Cafe,30.28494,-97.7353033,721.0690358976327,30.29,-97.74
cafe,Pacha Organic Cafe,30.2957585,-97.74213710000001,672.3886681077789,30.29,-97.74
cafe,Cypress Bend,30.2829006,-97.73441299999999,954.4442268442713,30.29,-97.74
cafe,Medici Roasting,30.279534,-97.7594529,2200.7473377618253,30.29,-97.74
cafe,CoCo's Cafe,30.282553,-97.742229,855.2804055437034,30.29,-97.74
cafe,Littlefield Patio Cafe,30.2892065,-97.7394408,103.28553956080432,30.29,-97.74
cafe,Mary's Café,30.2912595,-97.72663399999999,1290.9474147486305,30.29,-97.74
cafe,Messhall Cafe,30.27190349999999,-97.7397506,2012.3814937414882,30.29,-97.74
cafe,Galaxy Cafe,30.2793815,-97.760027,2256.5510418515773,30.29,-97.74
cafe,Bennu Coffee,30.2798351,-97.719641,2258.1106602816017,30.29,-97.74
cafe,Thunderbird Coffee,30.2843795,-97.71938279999999,2075.9269168002425,30.29,-97.74
