place_type,name,cafe_latitude,cafe_longitude,distance,source_latitude,source_longitude
cafe,George's Cafe,30.2884104,-97.73078350000002,2003.3565834861975,30.29,-97.71
cafe,Color Café,30.28098,-97.7131198,1046.758019013593,30.29,-97.71
cafe,Red River Cafe,30.2896946,-97.72847619999999,1774.320010480944,30.29,-97.71
cafe,Mary's Café,30.2912595,-97.72663399999999,1603.2319049048012,30.29,-97.71
cafe,Cherrywood Coffeehouse,30.2935632,-97.7160212,700.8559861839948,30.29,-97.71
cafe,Bennu Coffee,30.2798351,-97.719641,1460.9990350505136,30.29,-97.71
cafe,Thunderbird Coffee,30.2843795,-97.71938279999999,1096.4657950696842,30.29,-97.71
cafe,Jo's Coffee,30.2998293,-97.7218709,1579.1003702159799,30.29,-97.71
cafe,Dear Diary Coffee,30.2743717,-97.7201973,1994.6636789467568,30.29,-97.71
cafe,Kerbey Lane Cafe - Mueller,30.3007112,-97.703732,1334.4306754293514,30.29,-97.71
cafe,Fleet Coffee,30.2857088,-97.7115283,499.2142189012807,30.29,-97.71
cafe,EL TIGRE COFFEE ROASTERS,30.27426699999999,-97.7212393,2055.5382093585717,30.29,-97.71
cafe,Take Care Coffee,30.2837477,-97.7206697,1238.1048420388818,30.29,-97.71
cafe,Civil Goat,30.2852837,-97.7145955,685.3646920730013,30.29,-97.71
cafe,Halcyon,30.2976596,-97.7053878,959.9478688441475,30.29,-97.71
cafe,Progress Coffee + Beer,30.2924419,-97.720603,1053.6226677322104,30.29,-97.71
cafe,Talisman Coffee Company,30.3001085,-97.70258059999999,1330.7258178162024,30.29,-97.71
cafe,Houndstooth Coffee,30.2814677,-97.70957949999999,949.6072296438851,30.29,-97.71
cafe,Streamway Coffee,30.2964013,-97.707797,742.5538354125234,30.29,-97.71
cafe,Julio's Cafe,30.3045299,-97.7263704,2254.0031231493854,30.29,-97.71
