place_type,name,cafe_latitude,cafe_longitude,distance,source_latitude,source_longitude
cafe,85°C Bakery Cafe - Austin Airport,30.3366115,-97.7176728,1901.5001809649268,30.35,-97.73
cafe,San Francisco Bakery & Café,30.3594753,-97.7356191,1183.5451657973604,30.35,-97.73
cafe,Genuine Joe Coffeehouse,30.3540417,-97.72738269999999,514.8271807515799,30.35,-97.73
cafe,Sorrento's Coffee Drive-Thru,30.3605289,-97.7404861,1543.7039915325342,30.35,-97.73
cafe,EspressoSelf,30.3577937,-97.731391,876.8376310368026,30.35,-97.73
cafe,Fat Cats Organic Coffee & Desserts,30.3387547,-97.71874319999999,1652.401396015637,30.35,-97.73
cafe,Epoch Coffee - Village,30.3593694,-97.7347058,1135.4680811271157,30.35,-97.73
cafe,Barrett's Coffee,30.3389883,-97.7174325,1718.6320186707258,30.35,-97.73
cafe,Summer Moon Coffee,30.35552059999999,-97.7302155,614.2108824228909,30.35,-97.73
cafe,Dog Day Coffee,30.3655468,-97.7288751,1732.0913808491182,30.35,-97.73
cafe,Russell's Bakery & Coffee @ Anderson,30.3557541,-97.7336089,727.5248208565198,30.35,-97.73
cafe,Brentwood Social House,30.3323054,-97.73513679999999,2028.3624192607556,30.35,-97.73
cafe,Even Keel,30.3333156,-97.7212922,2034.7323313946745,30.35,-97.73
cafe,Midtown Grocery & Cafe,30.3394598,-97.71826850000001,1625.1102851927287,30.35,-97.73
cafe,Starbucks,30.3598522,-97.7379005,1332.221154158853,30.35,-97.73
cafe,Hookah house,30.3310811,-97.71516109999999,2540.3410862260544,30.35,-97.73
cafe,Saborcol,30.3485506,-97.7069533,2217.3552205577157,30.35,-97.73
cafe,Feng Cha Teahouse 奉茶,30.3555445,-97.7336605,709.5528222670682,30.35,-97.73
cafe,Fruitealicious,30.337534,-97.71753969999999,1830.62094207148,30.35,-97.73
cafe,Mi Kafecito,30.356071,-97.71480969999999,1606.2965075718243,30.35,-97.73
