place_type,name,cafe_latitude,cafe_longitude,distance,source_latitude,source_longitude
cafe,Cafe Java,30.4000896,-97.70414199999999,1254.737252517691,30.39,-97.71
cafe,Commons Cafe,30.387302,-97.72658899999999,1619.2229953161573,30.39,-97.71
cafe,Capital One Café,30.405282,-97.72133409999999,2017.2326462117073,30.39,-97.71
cafe,Medici Roasting,30.3932917,-97.7253011,1512.564361329852,30.39,-97.71
cafe,Coffee + Crisp,30.3966729,-97.72737339999999,1824.0791932099855,30.39,-97.71
cafe,Kiefer's Café & Catering,30.3880844,-97.7098213,213.69353851569065,30.39,-97.71
cafe,Sweet Paris Creperie & Cafe,30.4018515,-97.7264579,2056.2871520663466,30.39,-97.71
cafe,Nordstrom Ebar Artisan Coffee,30.4023635,-97.7204545,1701.578392921589,30.39,-97.71
cafe,Summer Moon Coffee,30.3944023,-97.7202343,1096.9060612433032,30.39,-97.71
cafe,Houndstooth Coffee,30.4006309,-97.7227757,1702.59295978382,30.39,-97.71
cafe,All Gimmicks Coffee,30.3849718,-97.71221399999999,598.0832036107325,30.39,-97.71
cafe,Rice Bowl Cafe,30.382457,-97.68851599999999,2224.9090833326104,30.39,-97.71
cafe,Starbucks,30.4032526,-97.72213119999999,1877.5820877133606,30.39,-97.71
cafe,Starbucks,30.3909492,-97.7222147,1176.3358538165458,30.39,-97.71
cafe,Turnstile Coffee Beer Cocktails and Burgers,30.3841123,-97.7233382,1437.1738683935494,30.39,-97.71
cafe,Baguette House & Cafe,30.3771248,-97.686835,2643.3321389227735,30.39,-97.71
cafe,Kung Fu Tea,30.3732593,-97.7283635,2562.8248167101947,30.39,-97.71
cafe,Gen BobaBee & Coffee House,30.3781272,-97.68750299999999,2529.776937932931,30.39,-97.71
cafe,Gong cha,30.40018689999999,-97.7232508,1702.4375698299232,30.39,-97.71
