place_type,name,cafe_latitude,cafe_longitude,distance,source_latitude,source_longitude
cafe,Java Dive Organic Cafe - Mediterranean Restaurant,30.3081812,-97.9405785,2280.94289485259,30.32,-97.96
cafe,Austin Tea Xchange Cafe,30.30703889999999,-97.945576,1998.541045301019,30.32,-97.96
cafe,Runaway Luna Coffeehouse & Lifestyle Boutique,30.3095493,-97.9395131,2284.2337256598003,30.32,-97.96
cafe,Lola Savannah Coffee Lounge - Lakeway,30.3339784,-97.96792260000001,1730.359266497723,30.32,-97.96
cafe,Panera Bread,30.3092111,-97.94188009999999,2112.9442021865843,30.32,-97.96
cafe,WFM Coffee Bar,30.3076183,-97.9377502,2541.0927815618797,30.32,-97.96
cafe,Starbucks,30.3165651,-97.954493,652.1510048947367,30.32,-97.96
cafe,Juiced Up Cafe,30.3064787,-97.9454531,2051.9297643083855,30.32,-97.96
cafe,Vivel Crepes & Coffee HCI,30.3126196,-97.95707279999999,867.4314952155422,30.32,-97.96
cafe,Gigi's Cupcakes Bee Cave,30.3114809,-97.9469343,1571.7164519342932,30.32,-97.96
cafe,𝗛𝗶𝗹𝗹 𝗖𝗼𝘂𝗻𝘁𝗿𝘆 𝗙𝗼𝗼𝗱 𝗠𝗮𝗿𝘁 - 𝗠𝗿.𝗧𝗮𝗰𝗼 𝗞𝗶𝗻𝗴,30.3095991,-97.9612324,1162.5618549604583,30.32,-97.96
cafe,McDonald's,30.3061969,-97.93709659999999,2681.2958675555365,30.32,-97.96
