place_type,name,cafe_latitude,cafe_longitude,distance,source_latitude,source_longitude
cafe,Epoch Coffee - Far West,30.3573351,-97.76066999999999,1211.072459217102,30.35,-97.77
cafe,Black Bexar Coffee,30.341558,-97.75495099999999,1722.3872403705705,30.35,-97.77
cafe,Russell's Bakery & Coffee @ Hancock,30.3327414,-97.76021809999999,2136.3553477972537,30.35,-97.77
cafe,Starbucks,30.3546472,-97.7564787,1396.5418222315598,30.35,-97.77
cafe,Starbucks,30.3369042,-97.756897,1923.9360174858643,30.35,-97.77
cafe,Signature Cafe,30.3355393,-97.7578099,1988.4570064437833,30.35,-97.77
cafe,McDonald's,30.3385305,-97.7557502,1869.866824721651,30.35,-97.77
cafe,Biderman's Deli,30.3560027,-97.75772599999999,1353.722581593247,30.35,-97.77
