place_type,name,yoga_latitude,yoga_longitude,distance,source_latitude,source_longitude
yoga_studio,"YTX Yoga, Strength, & HIIT Training",30.2658104,-97.7416485,1934.1179653880126,30.28,-97.73
yoga_studio,Practice Yoga Austin,30.2645313,-97.7313798,1725.1372700695363,30.28,-97.73
yoga_studio,CorePower Yoga,30.2693243,-97.751798,2406.431720109523,30.28,-97.73
yoga_studio,Energies Balanced Yoga & Massage Studio,30.275103,-97.7192778,1164.743076876289,30.28,-97.73
yoga_studio,Black Swan Yoga - East,30.2603828,-97.7348085,2229.6762395644946,30.28,-97.73
yoga_studio,Yoga Rx,30.2724148,-97.7479211,1916.5086379729235,30.28,-97.73
yoga_studio,Private Yoga in Austin For Women,30.2973872,-97.7452564,2425.6413806904434,30.28,-97.73
