place_type,name,cafe_latitude,cafe_longitude,distance,source_latitude,source_longitude
cafe,George's Cafe,30.2884104,-97.73078350000002,938.214979081676,30.28,-97.73
cafe,The Star Cafe,30.2800341,-97.7388701,851.7577102661874,30.28,-97.73
cafe,Capitol Café,30.271906,-97.74116099999999,1399.5451426862198,30.28,-97.73
cafe,One Twenty 5 Café,30.2819761,-97.74033879999999,1016.797215571079,30.28,-97.73
cafe,The Well Cafe,30.2668207,-97.741089,1811.5180029472929,30.28,-97.73
cafe,Color Café,30.28098,-97.7131198,1624.5682696055976,30.28,-97.73
cafe,Capital One Café,30.2681205,-97.74235279999999,1775.4053336775016,30.28,-97.73
cafe,Red River Cafe,30.2896946,-97.72847619999999,1087.874689994425,30.28,-97.73
cafe,Cafe 508,30.2688384,-97.7365567,1391.6934334203513,30.28,-97.73
cafe,Medici Roasting,30.285537,-97.742003,1306.6935005764701,30.28,-97.73
cafe,O's Campus Cafe and Catering,30.2866836,-97.73640909999999,964.9100341497643,30.28,-97.73
cafe,Texas Coffee Traders - Pangea Cafe,30.28494,-97.7353033,749.0356581222911,30.28,-97.73
cafe,Pacha Organic Cafe,30.2957585,-97.74213710000001,2104.4044070230175,30.28,-97.73
cafe,Cypress Bend,30.2829006,-97.73441299999999,532.5334620567211,30.28,-97.73
cafe,CoCo's Cafe,30.282553,-97.742229,1208.0986881945714,30.28,-97.73
cafe,Littlefield Patio Cafe,30.2892065,-97.7394408,1367.3886821968874,30.28,-97.73
cafe,Messhall Cafe,30.27190349999999,-97.7397506,1298.9419453364947,30.28,-97.73
cafe,Mary's Café,30.2912595,-97.72663399999999,1293.0433058840044,30.28,-97.73
cafe,Cherrywood Coffeehouse,30.2935632,-97.7160212,2018.9338761650442,30.28,-97.73
cafe,The Hideout Coffee House,30.2686231,-97.7423948,1736.9858193092173,30.28,-97.73
