place_type,name,cafe_latitude,cafe_longitude,distance,source_latitude,source_longitude
cafe,Acro Cafe,35.7822735,-78.6395502,1613.94598177881,35.77,-78.63
cafe,coffee,35.7796531,-78.64559369999999,1769.5113462575089,35.77,-78.63
cafe,Purr Cup Cafe,35.7630351,-78.64857649999999,1846.329422982565,35.77,-78.63
cafe,Sky Cafe,35.7764955,-78.6364207,925.852878808605,35.77,-78.63
cafe,Marbles Cafe,35.7782964,-78.63620370000001,1079.0130853734538,35.77,-78.63
cafe,Sosta Cafe,35.7754354,-78.6378245,929.2935270418981,35.77,-78.63
cafe,The Daily Planet Cafe,35.7823889,-78.6409628,1695.8284661817731,35.77,-78.63
cafe,Manhattan Cafe,35.7762328,-78.6386162,1041.4223427051602,35.77,-78.63
cafe,Archdale Cafe,35.7871442,-78.63875349999999,2063.424842508716,35.77,-78.63
cafe,Crema,35.7741886,-78.63893470000001,930.9521930086792,35.77,-78.63
cafe,A Place at the Table,35.7785506,-78.64423169999999,1597.6341327535874,35.77,-78.63
cafe,Sir Walter Coffee,35.775605,-78.6370656,891.4954738549637,35.77,-78.63
cafe,Morning Times,35.7781524,-78.6387551,1202.335201705745,35.77,-78.63
cafe,Beansprout Café + Coffee,35.7782964,-78.63620370000001,1079.0130853734538,35.77,-78.63
cafe,"Black & White Coffee, at Videri Chocolate Factory",35.7753176,-78.6447113,1452.9683078898813,35.77,-78.63
cafe,"Heirloom - Coffee, Tea, Kitchen",35.7775847,-78.64598099999999,1670.3012572403093,35.77,-78.63
cafe,321 Coffee - Downtown Raleigh,35.7806448,-78.64832299999999,2033.0796944373685,35.77,-78.63
cafe,Iris Coffee Lab,35.7862145,-78.6500411,2553.293128936849,35.77,-78.63
cafe,42 & Lawrence,35.776759,-78.6368442,972.6807679706498,35.77,-78.63
cafe,Sam's Club Cafe,35.7503958,-78.6458337,2606.3541974975983,35.77,-78.63
