place_type,name,cafe_latitude,cafe_longitude,distance,source_latitude,source_longitude
cafe,Medici Roasting,30.2677157,-97.69391859999999,1360.6016230573089,30.27,-97.68
cafe,Sa-Tén @ Canopy,30.2619249,-97.6989631,2030.5093621315903,30.27,-97.68
cafe,St Benedict Coffee Company,30.2608293,-97.69904799999999,2094.3706193085864,30.27,-97.68
cafe,Palomino Coffee,30.2792813,-97.6875067,1258.8664024606633,30.27,-97.68
cafe,Houndstooth Coffee,30.2597445,-97.6739769,1278.6834241164588,30.27,-97.68
cafe,McDonald's,30.2723144,-97.69689249999999,1642.5306453008823,30.27,-97.68
cafe,Lynny's,30.2573529,-97.70274049999999,2597.6106748053053,30.27,-97.68
cafe,Zhi Tea,30.2673439,-97.6928149,1265.6328361519966,30.27,-97.68
cafe,Coffee Run,30.2670528,-97.69239990000001,1235.1067812995432,30.27,-97.68
