place_type,name,cafe_latitude,cafe_longitude,distance,source_latitude,source_longitude
cafe,Acro Cafe,35.7822735,-78.6395502,1275.3878881830515,35.79,-78.65
cafe,coffee,35.7796531,-78.64559369999999,1217.2426726000247,35.79,-78.65
cafe,Pullen Cafe,35.7792224,-78.66305679999999,1680.2802401514466,35.79,-78.65
cafe,Sky Cafe,35.7764955,-78.6364207,1937.8688491360795,35.79,-78.65
cafe,Marbles Cafe,35.7782964,-78.63620370000001,1800.6477681227823,35.79,-78.65
cafe,Sosta Cafe,35.7754354,-78.6378245,1956.8024460686806,35.79,-78.65
cafe,The Daily Planet Cafe,35.7823889,-78.6409628,1175.0557207515901,35.79,-78.65
cafe,Manhattan Cafe,35.7762328,-78.6386162,1843.356006956822,35.79,-78.65
cafe,Archdale Cafe,35.7871442,-78.63875349999999,1062.9656311358333,35.79,-78.65
cafe,Jubala Coffee,35.7866976,-78.66327,1252.007711419342,35.79,-78.65
cafe,Hill of Beans Coffee,35.78747000000001,-78.6702566,1848.65528965911,35.79,-78.65
cafe,Benelux Cafe,35.790021,-78.6627267,1147.9191639894975,35.79,-78.65
cafe,Seaboard Cafe,35.7899933,-78.6406763,840.975102247959,35.79,-78.65
cafe,Crema,35.7741886,-78.63893470000001,2021.7343879573996,35.79,-78.65
cafe,A Place at the Table,35.7785506,-78.64423169999999,1375.339688361144,35.79,-78.65
cafe,Sir Walter Coffee,35.775605,-78.6370656,1980.7585702791853,35.79,-78.65
cafe,Morning Times,35.7781524,-78.6387551,1662.6501684494988,35.79,-78.65
cafe,Global Village Organic Coffee,35.7878143,-78.66776639999999,1620.8325215312386,35.79,-78.65
cafe,Port City Java,35.7840175,-78.6709032,1999.3968087773549,35.79,-78.65
cafe,The Third Place Coffee Shop,35.8050703,-78.6466518,1702.7313064969903,35.79,-78.65
