place_type,name,cafe_latitude,cafe_longitude,distance,source_latitude,source_longitude
cafe,Panera Bread,35.7554811,-78.7426325,2671.1445273250065,35.74,-78.72
cafe,Starbucks,35.7461979,-78.74183099999999,2087.319215568504,35.74,-78.72
cafe,Starbucks,35.7574811,-78.7379239,2528.7943132393075,35.74,-78.72
cafe,Bruegger's Bagels,35.7461866,-78.7412946,2041.2624539143862,35.74,-78.72
cafe,SoBol Cary,35.74626840000001,-78.74124719999999,2040.3237457237342,35.74,-78.72
cafe,Starbucks,35.74687,-78.74338,2244.077057867847,35.74,-78.72
cafe,McDonald's,35.7590503,-78.74333,2986.6041330901567,35.74,-78.72
