place_type,name,grocery_latitude,grocery_longitude,distance,source_latitude,source_longitude
grocery_or_supermarket,Royal Blue Grocery,30.2648763,-97.7420028,601.3214526208618,30.27,-97.74
grocery_or_supermarket,Austin SuperMarket,30.2545625,-97.73727799999999,1736.3646564985554,30.27,-97.74
grocery_or_supermarket,Royal Blue Grocery,30.267667,-97.74940959999999,940.156698221918,30.27,-97.74
grocery_or_supermarket,Royal Blue Grocery,30.268323,-97.74224699999999,285.1990349908924,30.27,-97.74
grocery_or_supermarket,Trader Joe's,30.2677805,-97.7526704,1241.5859610599048,30.27,-97.74
grocery_or_supermarket,Royal Blue Grocery,30.2572702,-97.7392261,1417.4392263490458,30.27,-97.74
grocery_or_supermarket,Royal Blue Grocery,30.2624553,-97.7252084,1649.7868691246008,30.27,-97.74
grocery_or_supermarket,Target Grocery,30.2637773,-97.7332349,949.1502252123515,30.27,-97.74
grocery_or_supermarket,Whole Foods Market,30.26441149999999,-97.73405149999999,844.1044594320856,30.27,-97.74
grocery_or_supermarket,Whole Foods Market,30.2706339,-97.753587,1306.719894861659,30.27,-97.74
grocery_or_supermarket,Royal Blue Grocery,30.2609234,-97.7388359,1015.4450884783461,30.27,-97.74
grocery_or_supermarket,Target Grocery,30.2833507,-97.7415642,1492.1098476657994,30.27,-97.74
