place_type,name,cafe_latitude,cafe_longitude,distance,source_latitude,source_longitude
cafe,Café No Sé,30.247111,-97.750424,2039.9555402784774,30.24,-97.77
cafe,Plaza Colombian Coffee,30.2246879,-97.76362999999999,1809.26907626062,30.24,-97.77
cafe,Elizabeth Street Café,30.2498048,-97.7546787,1831.578915797868,30.24,-97.77
cafe,Medici Roasting,30.255692,-97.7623289,1894.0782028793656,30.24,-97.77
cafe,Jo's Coffee,30.2510458,-97.74937170000001,2331.3090112161235,30.24,-97.77
cafe,Mañana,30.247699,-97.74982399999999,2118.7631952458714,30.24,-97.77
cafe,Magnolia Cafe,30.24445649999999,-97.7519537,1802.9935505354292,30.24,-97.77
cafe,Kerbey Lane Cafe - South,30.2422857,-97.78348319999999,1319.934400956937,30.24,-97.77
cafe,Sips & Sweets,30.2467913,-97.7503494,2033.0959125719844,30.24,-97.77
cafe,Victorious Cafe at True Hemp Science,30.246245,-97.7562074,1495.8759836194508,30.24,-97.77
cafe,Freddo ATX,30.23918,-97.7535669,1581.2652966778103,30.24,-97.77
cafe,Jo's Coffee,30.2293133,-97.75586609999999,1804.3777725377458,30.24,-97.77
cafe,Maha Coffee 78704,30.2474253,-97.7758937,1001.1161870263296,30.24,-97.77
cafe,Patika,30.2474477,-97.7726101,865.2690467133463,30.24,-97.77
cafe,Bouldin Creek Cafe,30.2464981,-97.75677759999999,1461.2926816950892,30.24,-97.77
cafe,Irie Bean Coffee & Wine Bar,30.2475721,-97.77487839999999,963.604478826216,30.24,-97.77
cafe,The Meteor,30.2428032,-97.7526413,1696.4029701301172,30.24,-97.77
cafe,Once Over Coffee Bar,30.2448611,-97.7570467,1356.6462437484388,30.24,-97.77
cafe,Radio Coffee & Beer,30.2315079,-97.7876869,1943.903007839501,30.24,-97.77
cafe,Proud Mary Coffee,30.2482775,-97.7693599,922.4675529866789,30.24,-97.77
