place_type,name,grocery_latitude,grocery_longitude,distance,source_latitude,source_longitude
grocery_or_supermarket,International Foods,30.3822472,-97.68510529999999,1447.2148467397762,30.37,-97.68
grocery_or_supermarket,MT Supermarket,30.3780174,-97.6859436,1058.240641619086,30.37,-97.68
grocery_or_supermarket,Mi Casa Market,30.3773319,-97.65926499999999,2149.7593444984527,30.37,-97.68
grocery_or_supermarket,La Hacienda Market Inc.,30.3666667,-97.6941667,1408.7610447613238,30.37,-97.68
grocery_or_supermarket,Afghan Halal Market Austin,30.3614678,-97.6985615,2017.7631556175684,30.37,-97.68
grocery_or_supermarket,Burmese Store,30.3556179,-97.69051259999999,1890.714738766475,30.37,-97.68
grocery_or_supermarket,Masterson Super Mercado Mexicana,30.3705506,-97.69171519999999,1125.5795278186074,30.37,-97.68
grocery_or_supermarket,La Mexicana Market,30.3576331,-97.6860612,1493.0421637267243,30.37,-97.68
grocery_or_supermarket,World Food & Halal Market,30.3670211,-97.69676849999999,1642.484269567807,30.37,-97.68
grocery_or_supermarket,Africarib Market,30.3563482,-97.6874155,1676.4674294391136,30.37,-97.68
grocery_or_supermarket,Southwest Farmers Market,30.36336339999999,-97.6839796,830.8744573109162,30.37,-97.68
