place_type,name,cafe_latitude,cafe_longitude,distance,source_latitude,source_longitude
cafe,Balkan Cafe & Grill,30.3881,-97.684175,2052.0894141586286,30.37,-97.68
cafe,Ahwak Cafe’,30.3784357,-97.6813844,947.3623452912278,30.37,-97.68
cafe,Santorini Cafe,30.3877289,-97.6841055,2010.3180329105048,30.37,-97.68
cafe,Rice Bowl Cafe,30.382457,-97.68851599999999,1608.1207629864668,30.37,-97.68
cafe,Baguette House & Cafe,30.3771248,-97.686835,1028.3933253307034,30.37,-97.68
cafe,La Tropicana,30.3583452,-97.68659149999999,1442.0238874121148,30.37,-97.68
cafe,Gen BobaBee & Coffee House,30.3781272,-97.68750299999999,1155.3209358790364,30.37,-97.68
cafe,McDonald's,30.3641195,-97.69695779999999,1753.4075697242654,30.37,-97.68
cafe,La cubanita cuban food,30.3590333,-97.6889301,1490.3337144164195,30.37,-97.68
cafe,Zaytouna Hookah Lounge & Smoke Shop,30.3884371,-97.6840165,2086.0033138452654,30.37,-97.68
