place_type,name,cafe_latitude,cafe_longitude,distance,source_latitude,source_longitude
cafe,The Third Place Coffee Shop,35.8050703,-78.6466518,1687.3371923420723,35.82,-78.65
cafe,Jubala Coffee,35.8359672,-78.63690679999999,2132.0568445742647,35.82,-78.65
cafe,Idle Hour Coffee Roasters,35.8088022,-78.65530059999999,1333.7204450688314,35.82,-78.65
cafe,Hayes Barton Cafe & Dessertery,35.8044859,-78.6464175,1755.075225452609,35.82,-78.65
cafe,Hereghty Heavenly Delicious,35.8150144,-78.6606457,1108.4701411900921,35.82,-78.65
cafe,Another Broken Egg Cafe,35.8366666,-78.63839,2128.3936004518205,35.82,-78.65
cafe,BREW Coffee Bar - McNeill Pointe,35.8122674,-78.6268206,2259.9900449679208,35.82,-78.65
cafe,Edible Art Bakery & Dessert Cafe,35.8380318,-78.64281059999999,2107.2018196213958,35.82,-78.65
cafe,Starbucks,35.8363613,-78.64181040000001,1963.4040055902867,35.82,-78.65
cafe,NOFO @ the Pig,35.8050495,-78.6468994,1685.7664190004477,35.82,-78.65
cafe,Starbucks,35.83995530000001,-78.6433102,2299.4284778362285,35.82,-78.65
